iter	RMSE
0	47.1905943
1	46.03022683
2	44.89145658
3	44.04863207
4	43.2205027
5	42.56841572
6	41.92157576
7	41.35163197
8	40.77929343
9	40.33908448
10	39.95593985
11	39.53849627
12	39.19177183
13	38.86736651
14	38.52846059
15	38.230224
16	37.9191001
17	37.70309642
18	37.49022803
19	37.27399074
20	37.0246624
21	36.84063442
22	36.66031121
23	36.50624092
24	36.33203244
25	36.17868511
26	36.03400938
27	35.87582116
28	35.74253844
29	35.61849738
30	35.49965499
31	35.34090436
32	35.19425969
33	35.08200169
34	34.93655454
35	34.81228008
36	34.65973095
37	34.52589337
38	34.38958381
39	34.26068487
40	34.14597157
41	34.04849126
42	33.92343573
43	33.77916579
44	33.69779734
45	33.58388907
46	33.50231059
47	33.41842435
48	33.33697903
49	33.2604877
50	33.13209901
51	33.01087004
52	32.91846023
53	32.8206381
54	32.72470061
55	32.63979798
56	32.55415094
57	32.46738347
58	32.39489873
59	32.33222073
60	32.24944046
61	32.16167949
62	32.07217581
63	32.01237123
64	31.93099393
65	31.87536832
66	31.79153325
67	31.69599665
68	31.61277297
69	31.54333156
70	31.48333255
71	31.40703175
72	31.35294822
73	31.27437585
74	31.21657766
75	31.1567638
76	31.103732
77	31.03346095
78	30.96542333
79	30.91929644
80	30.85122327
81	30.80337498
82	30.74459137
83	30.6985161
84	30.64629872
85	30.57493676
86	30.51726697
87	30.46217605
88	30.41575615
89	30.35651709
90	30.26061275
91	30.21021449
92	30.16599835
93	30.11552348
94	30.06637203
95	30.00972257
96	29.91307094
97	29.87155809
98	29.82072209
99	29.77602265
100	29.72446318
101	29.64777001
102	29.59615801
103	29.53079159
104	29.46683955
105	29.41181696
106	29.34489711
107	29.28862567
108	29.21584217
109	29.16471869
110	29.11834031
111	29.06997037
112	29.01169337
113	28.96535618
114	28.91755833
115	28.86241953
116	28.81100549
117	28.76732228
118	28.7250849
119	28.65005147
120	28.59549578
121	28.54656961
122	28.50102595
123	28.45503391
124	28.41296851
125	28.34333234
126	28.27909276
127	28.23600082
128	28.19374544
129	28.14655713
130	28.10254827
131	28.04793679
132	28.00656319
133	27.96555615
134	27.92408456
135	27.88306765
136	27.83624567
137	27.80106134
138	27.74814506
139	27.71036619
140	27.67024566
141	27.63431135
