iter	Passed	Remaining
0	95	47431
1	234	58382
2	289	48002
3	352	43752
4	457	45312
5	514	42342
6	572	40319
7	649	39920
8	751	41001
9	848	41595
10	877	39012
11	942	38333
12	1091	40884
13	1233	42824
14	1350	43668
15	1392	42122
16	1436	40819
17	1482	39686
18	1534	38839
19	1567	37627
20	1599	36483
21	1628	35393
22	1652	34262
23	1697	33659
24	1725	32776
25	1755	31997
26	1811	31734
27	1835	30944
28	1887	30659
29	1921	30110
30	1956	29606
31	2001	29267
32	2057	29118
33	2110	28925
34	2146	28513
35	2179	28096
36	2207	27628
37	2277	27684
38	2351	27797
39	2393	27528
40	2446	27386
41	2482	27074
42	2514	26723
43	2550	26432
44	2585	26142
45	2613	25790
46	2645	25500
47	2668	25123
48	2684	24712
49	2705	24346
50	2732	24053
51	2753	23722
52	2779	23442
53	2806	23183
54	2840	22978
55	2865	22722
56	2897	22515
57	2917	22232
58	2946	22023
59	2963	21731
60	2999	21585
61	3026	21378
62	3053	21183
63	3087	21032
64	3113	20837
65	3133	20602
66	3157	20403
67	3189	20263
68	3214	20080
69	3237	19885
70	3257	19681
71	3283	19517
72	3309	19356
73	3332	19184
74	3359	19034
75	3376	18839
76	3396	18660
77	3424	18525
78	3443	18350
79	3457	18153
80	3481	18008
81	3502	17854
82	3528	17728
83	3553	17598
84	3570	17434
85	3597	17318
86	3628	17223
87	3651	17097
88	3671	16957
89	3690	16813
90	3709	16672
91	3730	16545
92	3747	16401
93	3767	16272
94	3786	16142
95	3805	16014
96	3837	15942
97	3859	15829
98	3958	16034
99	3992	15969
100	4018	15874
101	4060	15843
102	4088	15760
103	4126	15712
104	4151	15618
105	4183	15551
106	4216	15487
107	4251	15431
108	4285	15372
109	4311	15285
110	4337	15199
111	4365	15121
112	4392	15043
113	4417	14957
114	4447	14890
115	4479	14828
116	4504	14745
117	4531	14668
118	4554	14581
119	4577	14495
120	4596	14396
121	4611	14288
122	4635	14208
123	4654	14114
124	4671	14015
125	4687	13914
126	4704	13817
127	4722	13724
128	4742	13639
129	4760	13549
130	4776	13453
131	4795	13368
132	4812	13280
133	4832	13199
134	4853	13121
135	4871	13039
136	4889	12955
137	4906	12869
138	4926	12794
139	4942	12710
140	4963	12638
141	4979	12553
142	5001	12485
143	5019	12409
144	5035	12327
145	5052	12250
146	5067	12169
147	5088	12101
148	5104	12023
149	5119	11944
150	5142	11886
151	5160	11813
152	5173	11734
153	5191	11664
154	5207	11590
155	5226	11525
156	5245	11460
157	5261	11389
158	5280	11323
159	5295	11253
160	5311	11183
161	5333	11128
162	5352	11065
163	5371	11005
164	5387	10938
165	5404	10874
166	5418	10804
167	5432	10735
168	5446	10667
169	5466	10611
170	5489	10561
171	5504	10497
172	5523	10439
173	5543	10386
174	5559	10324
175	5573	10261
176	5589	10200
177	5603	10136
178	5617	10073
179	5637	10021
180	5655	9968
181	5672	9910
182	5690	9857
183	5708	9804
184	5726	9750
185	5743	9696
186	5762	9645
187	5787	9604
188	5807	9555
189	5853	9550
190	5978	9672
191	6001	9626
192	6028	9588
193	6049	9542
194	6072	9498
195	6086	9440
196	6103	9387
197	6121	9336
198	6137	9283
199	6153	9229
200	6171	9180
201	6187	9128
202	6211	9088
203	6228	9037
204	6243	8984
